mutant_id,mr_id,trial_id,residual
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_inflow_dirichlet,0,2.2239134311676025
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_inflow_dirichlet,0,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_inflow_dirichlet,0,0
cylinder_flow_meshgraphnet::MA_permute_edges,mr_inflow_dirichlet,0,0
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_inflow_dirichlet,0,0
cylinder_flow_meshgraphnet::NS_double_scale,mr_inflow_dirichlet,0,0
cylinder_flow_meshgraphnet::TR_sign_flip,mr_inflow_dirichlet,0,0
cylinder_flow_meshgraphnet::TR_double_step,mr_inflow_dirichlet,0,0
cylinder_flow_meshgraphnet::PC_swap_xy,mr_inflow_dirichlet,0,0
cylinder_flow_meshgraphnet::PC_zero_vy,mr_inflow_dirichlet,0,0
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_wall_noslip,0,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_wall_noslip,0,0.2828427255153656
cylinder_flow_meshgraphnet::MA_drop_edges,mr_wall_noslip,0,0
cylinder_flow_meshgraphnet::MA_permute_edges,mr_wall_noslip,0,0
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_wall_noslip,0,0
cylinder_flow_meshgraphnet::NS_double_scale,mr_wall_noslip,0,0
cylinder_flow_meshgraphnet::TR_sign_flip,mr_wall_noslip,0,0
cylinder_flow_meshgraphnet::TR_double_step,mr_wall_noslip,0,0
cylinder_flow_meshgraphnet::PC_swap_xy,mr_wall_noslip,0,0
cylinder_flow_meshgraphnet::PC_zero_vy,mr_wall_noslip,0,0
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_update_magnitude,0,1
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_update_magnitude,0,1
cylinder_flow_meshgraphnet::MA_drop_edges,mr_update_magnitude,0,0.88410508632659912
cylinder_flow_meshgraphnet::MA_permute_edges,mr_update_magnitude,0,0.86003333330154419
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_update_magnitude,0,113.93009185791016
cylinder_flow_meshgraphnet::NS_double_scale,mr_update_magnitude,0,1.9999998807907104
cylinder_flow_meshgraphnet::TR_sign_flip,mr_update_magnitude,0,1
cylinder_flow_meshgraphnet::TR_double_step,mr_update_magnitude,0,2.0044584274291992
cylinder_flow_meshgraphnet::PC_swap_xy,mr_update_magnitude,0,1.0000001192092896
cylinder_flow_meshgraphnet::PC_zero_vy,mr_update_magnitude,0,0.754691481590271
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_rollout_direction,0,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_rollout_direction,0,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_rollout_direction,0,0.22257763147354126
cylinder_flow_meshgraphnet::MA_permute_edges,mr_rollout_direction,0,0.40273183584213257
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_rollout_direction,0,0.00023543834686279297
cylinder_flow_meshgraphnet::NS_double_scale,mr_rollout_direction,0,0
cylinder_flow_meshgraphnet::TR_sign_flip,mr_rollout_direction,0,2
cylinder_flow_meshgraphnet::TR_double_step,mr_rollout_direction,0,0.0015284419059753418
cylinder_flow_meshgraphnet::PC_swap_xy,mr_rollout_direction,0,1.095733642578125
cylinder_flow_meshgraphnet::PC_zero_vy,mr_rollout_direction,0,0.28298276662826538
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_channel_energy,0,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_channel_energy,0,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_channel_energy,0,0.1772092878818512
cylinder_flow_meshgraphnet::MA_permute_edges,mr_channel_energy,0,0.13737431168556213
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_channel_energy,0,0.089817553758621216
cylinder_flow_meshgraphnet::NS_double_scale,mr_channel_energy,0,6.3067346900425036e-08
cylinder_flow_meshgraphnet::TR_sign_flip,mr_channel_energy,0,6.3067346900425036e-08
cylinder_flow_meshgraphnet::TR_double_step,mr_channel_energy,0,0.0097456080839037895
cylinder_flow_meshgraphnet::PC_swap_xy,mr_channel_energy,0,0.11956440657377243
cylinder_flow_meshgraphnet::PC_zero_vy,mr_channel_energy,0,1
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_swap_signature,0,-0.11920326857859639
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_swap_signature,0,-0.11920326857859639
cylinder_flow_meshgraphnet::MA_drop_edges,mr_swap_signature,0,-0.20966215114759282
cylinder_flow_meshgraphnet::MA_permute_edges,mr_swap_signature,0,-0.2071388109642377
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_swap_signature,0,-0.11879561623269161
cylinder_flow_meshgraphnet::NS_double_scale,mr_swap_signature,0,-0.11920327956402485
cylinder_flow_meshgraphnet::TR_sign_flip,mr_swap_signature,0,0.11920330183312636
cylinder_flow_meshgraphnet::TR_double_step,mr_swap_signature,0,-0.11210672954488209
cylinder_flow_meshgraphnet::PC_swap_xy,mr_swap_signature,0,0.99999999998696598
cylinder_flow_meshgraphnet::PC_zero_vy,mr_swap_signature,0,-0.11878178313645744
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_update_smoothness,0,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_update_smoothness,0,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_update_smoothness,0,0.092774554445093318
cylinder_flow_meshgraphnet::MA_permute_edges,mr_update_smoothness,0,0.25152525614775645
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_update_smoothness,0,13029.459684961426
cylinder_flow_meshgraphnet::NS_double_scale,mr_update_smoothness,0,2.9999988398612647
cylinder_flow_meshgraphnet::TR_sign_flip,mr_update_smoothness,0,1.4501734189883097e-07
cylinder_flow_meshgraphnet::TR_double_step,mr_update_smoothness,0,2.9999475037222325
cylinder_flow_meshgraphnet::PC_swap_xy,mr_update_smoothness,0,7.2508670949415486e-08
cylinder_flow_meshgraphnet::PC_zero_vy,mr_update_smoothness,0,0.40729621401775329
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_inflow_dirichlet,2,2.2239134311676025
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_inflow_dirichlet,2,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_inflow_dirichlet,2,0
cylinder_flow_meshgraphnet::MA_permute_edges,mr_inflow_dirichlet,2,0
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_inflow_dirichlet,2,0
cylinder_flow_meshgraphnet::NS_double_scale,mr_inflow_dirichlet,2,0
cylinder_flow_meshgraphnet::TR_sign_flip,mr_inflow_dirichlet,2,0
cylinder_flow_meshgraphnet::TR_double_step,mr_inflow_dirichlet,2,0
cylinder_flow_meshgraphnet::PC_swap_xy,mr_inflow_dirichlet,2,0
cylinder_flow_meshgraphnet::PC_zero_vy,mr_inflow_dirichlet,2,0
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_wall_noslip,2,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_wall_noslip,2,0.2828427255153656
cylinder_flow_meshgraphnet::MA_drop_edges,mr_wall_noslip,2,0
cylinder_flow_meshgraphnet::MA_permute_edges,mr_wall_noslip,2,0
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_wall_noslip,2,0
cylinder_flow_meshgraphnet::NS_double_scale,mr_wall_noslip,2,0
cylinder_flow_meshgraphnet::TR_sign_flip,mr_wall_noslip,2,0
cylinder_flow_meshgraphnet::TR_double_step,mr_wall_noslip,2,0
cylinder_flow_meshgraphnet::PC_swap_xy,mr_wall_noslip,2,0
cylinder_flow_meshgraphnet::PC_zero_vy,mr_wall_noslip,2,0
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_update_magnitude,2,1
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_update_magnitude,2,1
cylinder_flow_meshgraphnet::MA_drop_edges,mr_update_magnitude,2,0.82300221920013428
cylinder_flow_meshgraphnet::MA_permute_edges,mr_update_magnitude,2,0.82229596376419067
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_update_magnitude,2,114.08650970458984
cylinder_flow_meshgraphnet::NS_double_scale,mr_update_magnitude,2,2.0000002384185791
cylinder_flow_meshgraphnet::TR_sign_flip,mr_update_magnitude,2,1
cylinder_flow_meshgraphnet::TR_double_step,mr_update_magnitude,2,2.0065910816192627
cylinder_flow_meshgraphnet::PC_swap_xy,mr_update_magnitude,2,1.0000001192092896
cylinder_flow_meshgraphnet::PC_zero_vy,mr_update_magnitude,2,0.72436684370040894
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_rollout_direction,2,-1.1920928955078125e-07
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_rollout_direction,2,-1.1920928955078125e-07
cylinder_flow_meshgraphnet::MA_drop_edges,mr_rollout_direction,2,0.21422743797302246
cylinder_flow_meshgraphnet::MA_permute_edges,mr_rollout_direction,2,0.33761745691299438
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_rollout_direction,2,0.00022667646408081055
cylinder_flow_meshgraphnet::NS_double_scale,mr_rollout_direction,2,-1.1920928955078125e-07
cylinder_flow_meshgraphnet::TR_sign_flip,mr_rollout_direction,2,2
cylinder_flow_meshgraphnet::TR_double_step,mr_rollout_direction,2,0.0024411678314208984
cylinder_flow_meshgraphnet::PC_swap_xy,mr_rollout_direction,2,0.90891271829605103
cylinder_flow_meshgraphnet::PC_zero_vy,mr_rollout_direction,2,0.33760511875152588
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_channel_energy,2,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_channel_energy,2,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_channel_energy,2,0.2295553982257843
cylinder_flow_meshgraphnet::MA_permute_edges,mr_channel_energy,2,0.26877996325492859
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_channel_energy,2,0.08919098973274231
cylinder_flow_meshgraphnet::NS_double_scale,mr_channel_energy,2,2.7959032422586461e-07
cylinder_flow_meshgraphnet::TR_sign_flip,mr_channel_energy,2,1.8639354948390974e-07
cylinder_flow_meshgraphnet::TR_double_step,mr_channel_energy,2,0.0088630132377147675
cylinder_flow_meshgraphnet::PC_swap_xy,mr_channel_energy,2,0.38880246877670288
cylinder_flow_meshgraphnet::PC_zero_vy,mr_channel_energy,2,1
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_swap_signature,2,0.074612121061509565
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_swap_signature,2,0.074612121061509565
cylinder_flow_meshgraphnet::MA_drop_edges,mr_swap_signature,2,-0.002577225970970268
cylinder_flow_meshgraphnet::MA_permute_edges,mr_swap_signature,2,-0.11357857473420294
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_swap_signature,2,0.074540599061672541
cylinder_flow_meshgraphnet::NS_double_scale,mr_swap_signature,2,0.074612220970336679
cylinder_flow_meshgraphnet::TR_sign_flip,mr_swap_signature,2,-0.074612116778393744
cylinder_flow_meshgraphnet::TR_double_step,mr_swap_signature,2,0.075766564724187385
cylinder_flow_meshgraphnet::PC_swap_xy,mr_swap_signature,2,0.99999999998992861
cylinder_flow_meshgraphnet::PC_zero_vy,mr_swap_signature,2,0.031765879497446456
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_update_smoothness,2,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_update_smoothness,2,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_update_smoothness,2,0.079901206695609309
cylinder_flow_meshgraphnet::MA_permute_edges,mr_update_smoothness,2,0.20820919628293785
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_update_smoothness,2,13100.809254069276
cylinder_flow_meshgraphnet::NS_double_scale,mr_update_smoothness,2,3
cylinder_flow_meshgraphnet::TR_sign_flip,mr_update_smoothness,2,0
cylinder_flow_meshgraphnet::TR_double_step,mr_update_smoothness,2,3.0554934354998262
cylinder_flow_meshgraphnet::PC_swap_xy,mr_update_smoothness,2,1.1594369588617854e-07
cylinder_flow_meshgraphnet::PC_zero_vy,mr_update_smoothness,2,0.47141350206078325
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_inflow_dirichlet,4,2.2239134311676025
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_inflow_dirichlet,4,0
cylinder_flow_meshgraphnet::MA_drop_edges,mr_inflow_dirichlet,4,0
cylinder_flow_meshgraphnet::MA_permute_edges,mr_inflow_dirichlet,4,0
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_inflow_dirichlet,4,0
cylinder_flow_meshgraphnet::NS_double_scale,mr_inflow_dirichlet,4,0
cylinder_flow_meshgraphnet::TR_sign_flip,mr_inflow_dirichlet,4,0
cylinder_flow_meshgraphnet::TR_double_step,mr_inflow_dirichlet,4,0
cylinder_flow_meshgraphnet::PC_swap_xy,mr_inflow_dirichlet,4,0
cylinder_flow_meshgraphnet::PC_zero_vy,mr_inflow_dirichlet,4,0
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_wall_noslip,4,0
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_wall_noslip,4,0.2828427255153656
cylinder_flow_meshgraphnet::MA_drop_edges,mr_wall_noslip,4,0
cylinder_flow_meshgraphnet::MA_permute_edges,mr_wall_noslip,4,0
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_wall_noslip,4,0
cylinder_flow_meshgraphnet::NS_double_scale,mr_wall_noslip,4,0
cylinder_flow_meshgraphnet::TR_sign_flip,mr_wall_noslip,4,0
cylinder_flow_meshgraphnet::TR_double_step,mr_wall_noslip,4,0
cylinder_flow_meshgraphnet::PC_swap_xy,mr_wall_noslip,4,0
cylinder_flow_meshgraphnet::PC_zero_vy,mr_wall_noslip,4,0
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_update_magnitude,4,1
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_update_magnitude,4,1
cylinder_flow_meshgraphnet::MA_drop_edges,mr_update_magnitude,4,0.79317128658294678
cylinder_flow_meshgraphnet::MA_permute_edges,mr_update_magnitude,4,0.74464905261993408
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_update_magnitude,4,114.06480407714844
cylinder_flow_meshgraphnet::NS_double_scale,mr_update_magnitude,4,2.0000002384185791
cylinder_flow_meshgraphnet::TR_sign_flip,mr_update_magnitude,4,1.0000001192092896
cylinder_flow_meshgraphnet::TR_double_step,mr_update_magnitude,4,2.0060815811157227
cylinder_flow_meshgraphnet::PC_swap_xy,mr_update_magnitude,4,1.0000002384185791
cylinder_flow_meshgraphnet::PC_zero_vy,mr_update_magnitude,4,0.73011773824691772
cylinder_flow_meshgraphnet::BC_zero_inflow,mr_rollout_direction,4,1.1920928955078125e-07
cylinder_flow_meshgraphnet::BC_nonzero_wall,mr_rollout_direction,4,1.1920928955078125e-07
cylinder_flow_meshgraphnet::MA_drop_edges,mr_rollout_direction,4,0.21082067489624023
cylinder_flow_meshgraphnet::MA_permute_edges,mr_rollout_direction,4,0.31196671724319458
cylinder_flow_meshgraphnet::NS_skip_denorm,mr_rollout_direction,4,0.00022733211517333984
cylinder_flow_meshgraphnet::NS_double_scale,mr_rollout_direction,4,1.1920928955078125e-07
